,Unnamed: 0,ab_id,pitcher_id,p_throws,type_confidence,sz_bot,sz_top,nasty,zone,start_speed,end_speed,spin_rate,spin_dir,break_angle,break_length,break_y,pfx_x,pfx_z,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,px,pz,x,y,inning
89,2419819,2018070738,601713,R,2.0,1.2182,3.1063400000000003,34.0,6.0,82.9,76.9,300.627,66.39699999999999,-6.0,9.3,23.9,1.55129,-0.67778,-2.7422,50.0,5.72699,7.57264,-120.559,-2.11567,2.2892,22.8538,-33.1742,0.637471,1.91759,92.7,187.0,5
90,2375186,2018059316,502026,R,2.0,1.61553,3.34016,49.0,14.0,95.2,86.2,2164.71,205.49400000000003,24.5,3.6,23.8,-4.6182,9.68438,-0.6345029999999999,50.0,5.63313,7.65763,-138.189,-9.11677,-8.875210000000003,32.5641,-13.5627,1.58027,1.3671,56.76,201.91,8
91,2502280,2018091898,502026,R,2.0,1.54562,3.3425800000000003,27.0,13.0,90.7,84.3,1334.89,243.08900000000003,20.7,6.8,23.9,-6.09601,3.09408,-0.863519,50.0,5.39089,0.955023,-132.067,-7.52347,-10.8359,26.4294,-26.6742,-1.29093,0.56172,166.22,223.64,8
92,2441733,2018076348,601713,R,2.0,1.59972,3.64702,30.0,6.0,96.1,87.7,2377.32,218.455,37.1,4.1,23.8,-7.1905,9.05383,-2.48076,50.0,6.00367,10.8028,-139.525,-6.95333,-14.2191,30.4661,-14.2702,0.50131,2.54483,97.89,170.09,3
93,2507887,2018093357,488768,R,1.0,1.65278,3.46132,54.0,12.0,90.9,83.5,2381.6,221.927,37.2,4.9,23.8,-8.12312,9.04456,-0.6316689999999999,50.0,6.4768,7.2568800000000016,-132.03799999999998,-6.78822,-14.4833,25.4881,-16.0479,1.0838,2.71232,75.69,165.55,3
94,2420432,2018070897,519151,R,2.0,1.45256,3.2704,9.0,12.0,82.9,74.9,2014.15,56.477,-18.6,12.0,23.8,9.59793,-6.3581699999999985,-0.542329,50.0,6.28749,-1.16339,-120.276,3.86576,13.9206,25.4806,-41.3958,0.210371,4.22095,108.98,124.81,7
95,2208758,2018016746,433587,R,2.0,1.5601200000000002,3.43848,37.0,14.0,87.4,80.7,2132.98,224.192,28.3,5.6,23.9,-7.8848,8.11016,-2.10289,50.0,5.68362,13.0194,-126.58,-7.10672,-12.9727,22.4313,-18.8306,2.05009,1.36607,37.58,200.85,5
96,2276264,2018034084,453172,R,2.0,1.3645,3.37456,32.0,14.0,91.6,84.3,1678.61,272.64,21.8,8.2,23.9,-8.523010000000001,-0.392916,-2.29398,50.0,5.32394,9.96965,-132.968,-5.68285,-15.3685,26.5938,-32.8825,0.384064,0.793925,102.4,217.49,9
97,2179543,2018009338,519151,R,2.0,1.28671,3.21614,45.0,13.0,95.1,86.7,2116.34,224.803,34.1,5.1,23.8,-7.39712,7.44785,-0.634312,50.0,5.54282,3.36688,-138.115,-8.4516,-14.1978,32.5829,-17.8789,-0.356121,1.22639,130.57,205.67,7
98,2444819,2018077131,433587,R,2.0,1.73282,3.5463,15.0,14.0,86.3,80.4,1248.1,255.30900000000003,16.9,7.9,23.9,-6.4687,1.696,-2.08455,50.0,5.52324,7.752910000000001,-125.487,-5.22003,-10.4426,22.4415,-29.4361,0.186837,1.05348,109.88,210.34,6
99,2606870,2018118767,488768,R,0.89,1.504,3.301,79.0,14.0,77.3,72.0,873.205,46.273,-7.7,11.9,23.9,3.81406,-3.64813,-0.8198770000000001,50.0,6.58763,1.34981,-112.43,-3.21978,4.89018,20.0629,-36.8515,0.28339000000000003,1.40349,106.19,200.92,6
100,2282293,2018035664,488768,R,2.0,1.6236,3.5234300000000003,45.0,14.0,95.8,89.2,2248.75,218.71400000000003,34.7,4.3,23.9,-6.7679100000000005,8.44328,-0.8217409999999999,50.0,5.85591,7.81953,-138.97,-11.5299,-13.4725,25.9132,-15.3665,1.1256,0.678659,74.18,220.71,2
101,2171185,2018007262,601713,R,2.0,1.54456,3.5359199999999995,60.0,11.0,94.1,85.2,2594.97,220.904,43.9,4.5,23.7,-8.53408,9.85043,-2.56509,50.0,6.0451,6.90146,-136.814,-5.49526,-16.024,32.8241,-13.6784,-1.10678,3.05785,159.18,156.18,1
102,2743107,2018153860,601713,R,2.0,1.6,3.49,30.0,6.0,80.4,74.0,1827.65,39.56,-13.0,13.1,23.8,6.8285800000000005,-8.26586,-2.28748,50.0,6.34647,3.82664,-117.032,0.8652270000000001,9.38999,23.8447,-43.5404,0.260345,2.61519,107.08,168.15,1
103,2234981,2018023443,488768,R,2.0,1.4902799999999998,3.18305,51.0,12.0,91.9,80.2,2890.1,219.065,47.6,4.8,23.6,-9.67721,11.9223,-0.390652,50.0,6.22515,6.29969,-132.959,-7.14723,-16.6923,38.1667,-11.6091,0.797351,2.59118,86.6,168.84,1
104,2343780,2018051284,519151,R,2.0,1.30946,3.30916,40.0,12.0,82.6,74.9,2070.22,62.28100000000001,-20.7,12.1,23.8,10.5226,-5.52874,-0.401841,50.0,6.09542,-0.114467,-119.952,0.6988260000000001,15.1526,25.7274,-40.1355,0.913753,2.77861,82.19,163.71,7
105,2191724,2018012404,433587,R,2.0,1.62164,3.7132,52.0,13.0,89.9,82.8,1784.72,196.407,11.8,4.2,23.8,-2.59622,8.81664,-2.36035,50.0,5.59046,4.62731,-130.89600000000002,-5.4858400000000005,-4.54859,25.0892,-16.7273,-0.914805,2.234,151.86,178.51,2
106,2349498,2018052748,489265,R,2.0,1.68952,3.4186400000000003,43.0,3.0,86.4,78.5,2190.37,224.785,30.8,5.6,23.8,-8.3613,8.42389,-2.61792,50.0,5.2518400000000005,10.3232,-125.45,-1.15747,-13.3428,25.0534,-18.7314,0.461491,3.25966,99.4,150.89,1
107,2282231,2018035651,488768,R,2.0,1.74541,3.58582,24.0,11.0,93.1,84.4,2375.84,215.087,38.8,4.3,23.8,-6.8846,9.80004,-1.04853,50.0,6.42612,1.70472,-135.338,-6.2164,-12.7403,30.1543,-14.0385,-1.30387,3.11233,166.71,154.81,1
108,2580315,2018111919,433587,R,2.0,1.44276,3.70695,41.0,11.0,84.1,78.3,1129.29,277.122,14.4,9.1,23.9,-6.15183,-0.768632,-2.14882,50.0,5.9464,5.3791,-122.39,-0.179981,-9.45334,21.1924,-33.3552,-0.7355149999999999,3.04656,145.04,156.52,2
109,2719660,2018147798,489265,R,0.901,1.77065,3.6919,44.0,9.0,77.4,70.7,1436.68,120.235,-21.5,9.1,23.8,7.55213,4.4015,-2.7285,50.0,4.72034,5.25556,-112.542,-0.431442,9.62884,21.5492,-26.5622,0.6227189999999999,1.82217,93.28,189.53,9
110,2721934,2018148385,601713,R,2.0,1.78542,3.81715,31.0,13.0,87.2,79.3,2275.23,246.133,32.4,7.5,23.8,-11.2322,4.96951,-2.7488,50.0,5.6498800000000005,10.3955,-126.623,-5.70395,-18.1601,26.8611,-24.1394,-0.0411634,1.42615,118.57,200.27,6
111,2652171,2018130510,488768,R,0.899,1.60244,3.3784400000000003,20.0,14.0,85.2,78.2,476.865,164.859,-3.7,7.6,23.8,0.684129,2.52807,-0.640369,50.0,6.17547,4.53789,-123.854,-4.36439,1.06344,24.5699,-28.2443,1.30379,2.03058,67.31,183.91,4
112,2171184,2018007261,601713,R,2.0,1.48414,3.4956400000000003,46.0,13.0,96.4,87.7,2827.78,217.833,49.9,4.1,23.8,-8.489130000000001,10.9309,-2.41098,50.0,6.01692,7.29407,-139.923,-8.64829,-16.7285,33.3485,-10.6339,-0.8654959999999999,2.1781200000000003,149.99,179.97,1
113,2444733,2018077107,433587,R,2.0,1.46122,3.37029,51.0,14.0,79.2,73.7,1148.66,36.129,-8.9,12.1,23.9,3.99925,-5.47829,-2.29061,50.0,5.72021,5.80079,-115.178,-1.47772,5.3769,21.2206,-39.5395,0.779064,1.24991,87.3,205.06,3
114,2171177,2018007259,601713,R,2.0,1.47496,3.75232,53.0,12.0,80.0,71.8,1711.97,30.775,-10.8,13.6,23.7,5.29024,-8.882660000000003,-2.51975,50.0,6.23687,6.19815,-116.136,2.04168,7.01245,27.7148,-43.9484,0.901103,2.85327,82.66,161.69,1
